taxi_type,date,hour,rows,tip_rate,avg_tip,median_tip,tip_rate_next,avg_tip_next
green,2024-01-01,0,9,0.8888888888888888,3.2266666666666666,3.75,0.9090909090909091,3.975454545454546
green,2024-01-01,1,11,0.9090909090909091,3.975454545454546,3.55,0.9166666666666666,4.332083333333333
green,2024-01-01,2,24,0.9166666666666666,4.332083333333333,3.325,0.8333333333333334,3.14
green,2024-01-01,3,6,0.8333333333333334,3.14,3.42,0.5,0.97
green,2024-01-01,4,2,0.5,0.97,0.97,1.0,4.345714285714286
green,2024-01-01,5,7,1.0,4.345714285714286,4.9,0.5,2.265
green,2024-01-01,6,2,0.5,2.265,2.265,1.0,3.543333333333333
green,2024-01-01,7,3,1.0,3.543333333333333,3.0,0.3333333333333333,3.17
green,2024-01-01,8,3,0.3333333333333333,3.17,0.0,1.0,3.6149999999999998
green,2024-01-01,9,2,1.0,3.6149999999999998,3.6149999999999998,1.0,1.5
green,2024-01-01,10,1,1.0,1.5,1.5,1.0,1.9566666666666668
green,2024-01-01,11,3,1.0,1.9566666666666668,1.29,1.0,8.621818181818183
green,2024-01-01,12,11,1.0,8.621818181818183,3.7,1.0,3.2623529411764705
green,2024-01-01,13,17,1.0,3.2623529411764705,2.86,0.9444444444444444,3.6677777777777774
green,2024-01-01,14,18,0.9444444444444444,3.6677777777777774,2.295,0.8888888888888888,3.2105555555555556
green,2024-01-01,15,18,0.8888888888888888,3.2105555555555556,2.93,0.9444444444444444,3.6222222222222222
green,2024-01-01,16,18,0.9444444444444444,3.6222222222222222,3.4050000000000002,1.0,3.3341176470588234
green,2024-01-01,17,17,1.0,3.3341176470588234,3.0,1.0,2.445
green,2024-01-01,18,10,1.0,2.445,2.01,0.8666666666666667,2.6766666666666667
green,2024-01-01,19,15,0.8666666666666667,2.6766666666666667,2.72,1.0,3.618235294117647
green,2024-01-01,20,17,1.0,3.618235294117647,3.02,0.9,2.003
green,2024-01-01,21,10,0.9,2.003,2.2199999999999998,1.0,3.492
green,2024-01-01,22,5,1.0,3.492,3.8,0.7142857142857143,3.467142857142857
green,2024-01-02,0,5,1.0,5.17,2.77,0.75,1.145
green,2024-01-02,1,4,0.75,1.145,1.29,1.0,3.62
green,2024-01-02,6,6,1.0,2.763333333333333,2.275,0.8125,2.14
green,2024-01-02,7,16,0.8125,2.14,2.16,0.9047619047619048,3.0838095238095242
green,2024-01-02,8,21,0.9047619047619048,3.0838095238095242,2.3,0.9230769230769231,3.0007692307692304
green,2024-01-02,9,13,0.9230769230769231,3.0007692307692304,3.2,0.9285714285714286,3.6332142857142857
