zone_id,zone,pickup_count,dropoff_count,out_degree,in_degree,flow_count,avg_tip,tip_rate
74,East Harlem North,44203,8742,179,124,52945,3.39484989706581,0.9385562065923128
75,East Harlem South,24823,12923,200,151,37746,3.281037747250534,0.9270434677516819
237,Upper East Side South,19177,20210,144,126,39387,3.2605303227825,0.9711112269906659
161,Midtown Center,18123,14924,160,138,33047,4.011583071235447,0.9545880924791701
236,Upper East Side North,17648,27196,142,111,44844,3.2487188349954668,0.9725181323662738
132,JFK Airport,16499,4217,247,128,20716,12.543251712224984,0.9242984423298382
43,Central Park,14083,7003,125,89,21086,3.6188901512461835,0.9654903074628985
186,Penn Station/Madison Sq West,13727,8219,171,124,21946,3.9480491003132516,0.9412836016609601
162,Midtown East,13604,11325,161,128,24929,3.8636408409291385,0.9592031755366068
138,LaGuardia Airport,12837,8786,230,122,21623,10.529927553166628,0.9511568123393316
230,Times Sq/Theatre District,11841,11168,164,141,23009,4.452647580440841,0.9407989190102187
142,Lincoln Square East,11526,12649,142,128,24175,3.511319625195211,0.9640812077043207
163,Midtown North,10716,9980,155,118,20696,3.989255319148936,0.9558603956700261
170,Murray Hill,10416,11170,165,155,21586,3.7034975038402456,0.946236559139785
234,Union Sq,10346,9848,140,115,20194,3.542015271602552,0.9498356852890005
68,East Chelsea,9892,9953,157,132,19845,3.98364638091387,0.9423776789324707
239,Upper West Side South,9825,14834,116,103,24659,3.4559165394402034,0.9693638676844784
48,Clinton East,8580,9102,149,130,17682,3.6681864801864803,0.9399766899766899
141,Lenox Hill West,8381,12368,133,122,20749,3.118489440400907,0.9638467963250209
166,Morningside Heights,8355,7742,143,107,16097,3.6840514661879116,0.9421903052064632
79,East Village,8148,7794,137,114,15942,3.4890058910162,0.9268532155130094
249,West Village,8108,6885,129,103,14993,3.566751356684756,0.9454859398125308
164,Midtown South,7767,8076,147,135,15843,3.73568816788979,0.9385863267670915
140,Lenox Hill East,7186,9808,167,158,16994,3.4930253270247706,0.9510158641803507
107,Gramercy,7096,7714,142,143,14810,3.4598083427282975,0.9471533258173619
263,Yorkville West,6653,12696,132,115,19349,3.201567713813317,0.9600180369758003
238,Upper West Side North,6624,15080,106,111,21704,3.3427687198067635,0.9645229468599034
246,West Chelsea/Hudson Yards,6449,7749,127,105,14198,3.8411862304233217,0.9427818266397892
229,Sutton Place/Turtle Bay North,6226,8250,133,115,14476,3.499921297783488,0.9558303886925795
97,Fort Greene,5942,1850,155,119,7792,3.5777246718276676,0.9091215079097947
95,Forest Hills,5887,2726,164,98,8613,3.5282979446237475,0.896551724137931
90,Flatiron,5662,5740,130,120,11402,3.4807170611091487,0.9438361003179089
114,Greenwich Village South,5427,3800,128,94,9227,3.522487562189055,0.9327436889625944
41,Central Harlem,5361,6159,150,130,11520,2.8274911397127402,0.8401417645961574
130,Jamaica,5179,831,184,92,6010,3.9806082255261632,0.7565167020660359
113,Greenwich Village North,5171,5131,118,101,10302,3.551336298588281,0.9508799071746278
100,Garment District,5129,4583,147,121,9712,3.7817469292259704,0.9245466952622343
65,Downtown Brooklyn/MetroTech,4882,1101,158,119,5983,4.198086849651783,0.919705038918476
