taxi_type,pickup_borough,pickup_zone,rows,observed_tip_rate,predicted_tip_probability,observed_avg_tip,expected_tip,q10_tip,q50_tip,q90_tip
green,Queens,Bayside,1,0.0,0.45449534,0.0,6.7855783,6.4757743,18.083677,23.952103
green,Staten Island,West Brighton,1,1.0,0.33705217,25.0,4.940004,7.0537515,19.554482,24.74489
green,Manhattan,Union Sq,1,1.0,0.45866156,10.0,4.912833,5.1255846,13.28726,15.529405
green,Brooklyn,Bay Ridge,5,0.8,0.42722645,6.426,4.0327773,4.863494,10.591734,13.2581
green,Queens,LaGuardia Airport,22,0.6818181818181818,0.408261,10.393636363636363,3.968091,4.706554,12.171128,17.067745
green,Brooklyn,Marine Park/Floyd Bennett Field,1,0.0,0.27077615,0.0,3.956734,3.638812,17.652378,24.320452
green,Brooklyn,Gravesend,2,1.0,0.37894273,10.87,3.861768,3.380672,9.761997,14.40719
green,Brooklyn,Sunset Park East,2,1.0,0.5159775,7.115,3.8153353,3.8990297,7.8953743,10.051537
green,Queens,Far Rockaway,1,1.0,0.3087851,10.0,3.504785,5.673093,13.086867,18.362902
green,Brooklyn,Red Hook,606,0.801980198019802,0.39656416,8.392409240924092,3.4929779,4.3727612,10.878956,14.917681
green,Brooklyn,Canarsie,2,0.0,0.27976835,0.0,3.4752328,6.357682,14.76623,20.543358
green,Brooklyn,Flatbush/Ditmas Park,72,0.9166666666666666,0.33176592,15.12861111111111,3.4655,5.1218386,12.153406,16.102652
green,Brooklyn,Dyker Heights,7,1.0,0.38807634,10.865714285714287,3.3892992,4.208026,10.857751,14.222717
green,Manhattan,Randalls Island,14,0.9285714285714286,0.52444756,5.7335714285714285,3.2766035,2.995005,7.3667145,9.3355055
green,Brooklyn,Columbia Street,27,0.8518518518518519,0.4011015,7.312222222222222,3.2694662,4.136928,10.044883,13.835759
green,Queens,Willets Point,39,0.6923076923076923,0.3034666,9.654871794871795,3.1178784,4.4485526,12.431102,17.99543
green,Manhattan,Washington Heights South,3077,0.9489762755931102,0.55740076,5.911644458888528,3.116005,2.8185866,6.2911005,8.138161
green,Bronx,Crotona Park East,2,0.5,0.37509438,6.96,3.058615,2.6938803,9.024788,11.123387
green,Queens,Flushing Meadows-Corona Park,1434,0.8437935843793585,0.31953868,9.341199442119944,3.0096614,4.3741317,11.166472,15.821676
green,Brooklyn,Midwood,2,1.0,0.37203717,12.239999999999998,2.9056265,4.5694237,8.3695345,10.111448
green,EWR,Newark Airport,1,0.0,0.21511073,0.0,2.8806884,3.3104188,15.496376,21.583113
green,Queens,Bellerose,8,1.0,0.298612,6.35,2.8647246,4.0213685,11.080002,15.902755
green,Brooklyn,Madison,2,1.0,0.3896426,6.99,2.824054,3.530281,7.951843,10.859926
green,Bronx,Bronx Park,17,0.7058823529411765,0.30747613,8.018823529411764,2.805721,4.508921,9.890257,13.946776
green,Queens,Saint Michaels Cemetery/Woodside,2,1.0,0.24650833,12.375,2.7929063,3.8087902,13.597212,23.087898
green,Brooklyn,South Williamsburg,17,0.6470588235294118,0.32654098,6.314705882352941,2.765874,4.065725,10.567894,13.503464
green,Brooklyn,Sunset Park West,28,0.7857142857142857,0.3788035,5.065714285714286,2.731686,3.6505725,8.7589245,11.534205
green,Brooklyn,Coney Island,75,0.6666666666666666,0.3866829,4.111066666666667,2.7033982,3.2089448,7.320818,10.009715
green,Queens,Springfield Gardens South,29,0.6551724137931034,0.30167598,12.918965517241379,2.6900785,3.9524403,10.445689,15.693789
green,Bronx,Highbridge,138,0.8333333333333334,0.30549967,9.78159420289855,2.6429198,4.220651,10.767836,15.691592
green,Brooklyn,Brooklyn Navy Yard,173,0.7630057803468208,0.33073634,6.20184971098266,2.5844953,3.822665,9.222419,12.013421
green,Manhattan,Lincoln Square East,1,1.0,0.6476559,5.27,2.5590258,1.9092289,4.5480266,5.8774924
green,Bronx,West Concourse,399,0.8220551378446115,0.33144104,8.454661654135338,2.5578437,3.815686,9.645505,14.256572
green,Bronx,Spuyten Duyvil/Kingsbridge,10,1.0,0.33289817,5.946,2.5033867,3.4566903,7.744895,9.659945
green,Queens,Oakland Gardens,1,1.0,0.31711435,6.0,2.4629493,4.2807813,9.126171,12.792833
green,Queens,Corona,86,0.686046511627907,0.25443,7.1991860465116275,2.4401612,4.524604,11.237487,16.614948
green,Manhattan,Yorkville East,11,0.9090909090909091,0.57622266,5.066363636363636,2.39274,2.1721225,4.7232265,5.9084325
green,Queens,Cambria Heights,2,0.5,0.23141584,2.5,2.3449652,5.0665903,11.99427,16.285345
green,Queens,Astoria Park,1,0.0,0.18640298,0.0,2.3403654,6.5820284,15.768174,25.204372
green,Brooklyn,Bath Beach,2,0.5,0.35575318,2.48,2.3270905,3.728777,7.4765444,10.13945
green,Manhattan,Roosevelt Island,7,0.8571428571428571,0.42856327,26.39428571428571,2.3129652,2.829738,6.4883194,9.163164
green,Queens,JFK Airport,18,0.7777777777777778,0.38060617,7.928888888888888,2.279841,2.7550135,6.8992877,10.098512
green,Bronx,Schuylerville/Edgewater Park,2,0.5,0.24217781,2.5,2.2675207,4.535488,7.5993814,11.292859
