taxi_type,pickup_year,pickup_month,rows,tip_rate,avg_tip,year_month
green,2024,1,12000,0.9133333333333333,3.3465241666666667,2024-01
green,2024,2,12000,0.9111666666666667,3.383096666666667,2024-02
green,2024,3,12000,0.9123333333333333,3.4631383333333337,2024-03
green,2024,4,12000,0.9160833333333334,3.5874725,2024-04
green,2024,5,12000,0.9163333333333333,3.7138983333333333,2024-05
green,2024,6,12000,0.908,3.7704175,2024-06
green,2024,7,12000,0.9128333333333334,3.7298108333333335,2024-07
green,2024,8,12000,0.90375,3.944879166666667,2024-08
green,2024,9,12000,0.9058333333333334,4.059071666666667,2024-09
green,2024,10,12000,0.9133333333333333,3.7637416666666668,2024-10
green,2024,11,12000,0.9095833333333333,3.669023333333333,2024-11
green,2024,12,12000,0.9084166666666667,3.5430291666666665,2024-12
green,2025,1,12000,0.9174166666666667,3.438880833333333,2025-01
green,2025,2,12000,0.9125833333333333,3.4141350000000004,2025-02
green,2025,3,12000,0.9070833333333334,3.5706366666666667,2025-03
green,2025,4,12000,0.9115,3.650903333333333,2025-04
green,2025,5,12000,0.9105,3.75376,2025-05
green,2025,6,12000,0.9131666666666667,3.8331116666666665,2025-06
green,2025,7,12000,0.91375,3.8118433333333335,2025-07
green,2025,8,12000,0.9009166666666667,4.117390833333333,2025-08
green,2025,9,12000,0.9120833333333334,4.041335,2025-09
green,2025,10,12000,0.9190833333333334,3.805429166666667,2025-10
green,2025,11,12000,0.9185,3.7024125,2025-11
green,2025,12,12000,0.917,3.6692766666666667,2025-12
yellow,2024,1,30000,0.9534666666666667,4.137645333333333,2024-01
yellow,2024,2,30000,0.9542666666666667,4.171522333333333,2024-02
yellow,2024,3,30000,0.9473666666666667,4.277030333333333,2024-03
yellow,2024,4,30000,0.9452333333333334,4.321564333333334,2024-04
yellow,2024,5,30000,0.9456,4.4272116666666665,2024-05
yellow,2024,6,30000,0.9425,4.355169,2024-06
yellow,2024,7,30000,0.9335,4.314362333333333,2024-07
yellow,2024,8,30000,0.9305666666666667,4.361694666666667,2024-08
yellow,2024,9,30000,0.9425666666666667,4.521685333333333,2024-09
yellow,2024,10,30000,0.9478666666666666,4.484853666666666,2024-10
yellow,2024,11,30000,0.9435,4.343752666666667,2024-11
yellow,2024,12,30000,0.9414,4.4578473333333335,2024-12
yellow,2025,1,30000,0.9405333333333333,4.060725333333333,2025-01
yellow,2025,2,30000,0.9406666666666667,4.049169666666667,2025-02
yellow,2025,3,30000,0.9397333333333333,4.2838769999999995,2025-03
yellow,2025,4,30000,0.9392666666666667,4.30764,2025-04
yellow,2025,5,30000,0.9388,4.4701216666666665,2025-05
yellow,2025,6,30000,0.9343666666666667,4.418938333333333,2025-06
yellow,2025,7,30000,0.9207666666666666,4.321895333333333,2025-07
yellow,2025,8,30000,0.9102666666666667,4.289898333333333,2025-08
yellow,2025,9,30000,0.9195,4.409842333333333,2025-09
yellow,2025,10,30000,0.9254333333333333,4.408784666666667,2025-10
yellow,2025,11,30000,0.913,4.251283,2025-11
yellow,2025,12,30000,0.9082666666666667,4.396217333333333,2025-12
