taxi_type,pickup_borough,pickup_zone,rows,observed_tip_rate,predicted_tip_probability,observed_avg_tip,expected_tip,q10_tip,q50_tip,q90_tip
green,Queens,Bayside,1,0.0,0.33354974,0.0,4.6841393,6.542323,19.068764,24.321194
green,Staten Island,West Brighton,1,1.0,0.33510694,25.0,4.682053,7.270857,17.299171,21.787683
green,Manhattan,Union Sq,1,1.0,0.3814235,10.0,4.219576,4.093654,14.442873,16.269302
green,Brooklyn,Bay Ridge,5,0.8,0.37848037,6.426,3.8322456,4.342706,11.290817,13.966759
green,Brooklyn,Sunset Park East,2,1.0,0.5234899,7.115,3.8115418,3.385214,8.01004,9.79001
green,Manhattan,Washington Heights South,3077,0.9489762755931102,0.5708397,5.911644458888528,3.2305412,2.8083484,6.4749355,8.065612
green,Queens,LaGuardia Airport,22,0.6818181818181818,0.34251404,10.393636363636363,3.195411,4.05882,12.040859,16.302303
green,Brooklyn,Gravesend,2,1.0,0.29741699,10.87,3.0894008,3.217502,9.117239,14.0178385
green,Brooklyn,Red Hook,606,0.801980198019802,0.36113527,8.392409240924092,3.065455,4.068538,10.986868,14.573268
green,Brooklyn,Flatbush/Ditmas Park,72,0.9166666666666666,0.30340403,15.12861111111111,3.057729,4.627434,12.039367,15.520649
green,Brooklyn,Canarsie,2,0.0,0.23927547,0.0,3.036446,6.1676803,15.852929,18.852451
green,Queens,Far Rockaway,1,1.0,0.26995674,10.0,3.007253,4.3892555,12.967152,17.523783
green,Brooklyn,Midwood,2,1.0,0.39639714,12.239999999999998,2.98962,2.9494452,8.343674,11.047366
green,Manhattan,Randalls Island,14,0.9285714285714286,0.48188123,5.7335714285714285,2.961383,3.1230602,7.43448,9.302657
green,Bronx,Crotona Park East,2,0.5,0.32817924,6.96,2.8023381,4.059747,9.751906,11.648763
green,Brooklyn,Madison,2,1.0,0.38706443,6.99,2.7572186,3.0058575,8.175516,10.517832
green,Brooklyn,Columbia Street,27,0.8518518518518519,0.36533138,7.312222222222222,2.7508104,3.800232,10.070155,13.195363
green,Brooklyn,Marine Park/Floyd Bennett Field,1,0.0,0.19335662,0.0,2.7486587,5.1515045,18.398932,25.728237
green,Queens,Oakland Gardens,1,1.0,0.33087394,6.0,2.6955128,3.7629838,9.504414,14.0261545
green,Queens,Flushing Meadows-Corona Park,1434,0.8437935843793585,0.29385766,9.341199442119944,2.6733828,4.208063,11.568389,14.953934
green,Manhattan,Lincoln Square East,1,1.0,0.6402308,5.27,2.6251855,2.0196621,4.83741,6.1243567
green,Brooklyn,Dyker Heights,7,1.0,0.32088438,10.865714285714287,2.5554757,4.3515983,10.820494,13.800939
green,Queens,Willets Point,39,0.6923076923076923,0.2514882,9.654871794871795,2.5438647,4.3269334,13.423626,18.543505
green,Manhattan,Yorkville East,11,0.9090909090909091,0.58453554,5.066363636363636,2.5238917,2.09454,4.8713627,5.942386
