taxi_type,daypart,pickup_hour,rows,tip_rate,avg_tip_amount,avg_fare_amount
green,night,0,4674,0.8508771929824561,3.8597090286692337,21.80177792041078
green,night,1,3166,0.848389134554643,3.8563202779532535,21.431241313960832
green,night,2,2066,0.8151016456921588,4.166742497579865,25.62900774443369
green,night,3,1646,0.807411907654921,4.499204131227217,29.751160388821386
green,night,4,1187,0.7885425442291492,5.000960404380792,32.818180286436395
green,morning,5,1316,0.8290273556231003,4.590053191489362,26.348138297872342
green,morning,6,5029,0.9184728574269239,3.1599542652614834,16.521024060449392
green,morning,7,11523,0.9020220428707801,3.154474529202465,16.391154213312504
green,morning,8,14530,0.9048176187198899,3.4401080523055745,17.149540261527875
green,morning,9,14525,0.922065404475043,3.5852695352839934,17.405535283993114
green,morning,10,14134,0.9225979906608179,3.826151832460733,17.753580019810386
green,midday,11,13861,0.9191256042132602,3.86059880239521,18.335438280066374
green,midday,12,14602,0.921723051636762,3.796439528831667,18.180324613066702
green,midday,13,14581,0.921404567587957,3.704768534394075,17.956285577120912
green,midday,14,17215,0.9160034853325588,3.701952367121696,18.021839674702292
green,midday,15,19136,0.915133779264214,3.6933836747491635,17.94136862458194
green,evening,16,21764,0.9155945598235619,3.7683955155302336,17.500636831464803
green,evening,17,24582,0.9191278171019445,3.6824814905215195,16.938383776747212
green,evening,18,23968,0.9255674232309746,3.5847338117489986,16.341983477970626
green,evening,19,18961,0.9198881915510785,3.4471683982912293,15.906689520594904
green,evening,20,14693,0.9213230790172191,3.519127475668686,16.975437963656162
green,night,21,12615,0.9125644074514467,3.9859405469678952,20.085107411811336
green,night,22,10479,0.8992270254795305,4.2226987307949235,22.5063460253841
green,night,23,7747,0.875822899186782,4.046523815670582,21.55499419129986
yellow,night,0,19198,0.9285342223148244,4.420516199604126,20.405855818314407
yellow,night,1,12490,0.9085668534827862,3.811157726180945,17.81551481184948
yellow,night,2,8205,0.8926264472882389,3.4885435709932966,16.3826422912858
yellow,night,3,5018,0.8895974491829414,3.646022319649263,16.726185731367078
yellow,night,4,3149,0.8482057796125754,4.74919657033979,24.459736424261674
yellow,morning,5,3865,0.8266494178525227,5.413285899094437,29.413050452781373
yellow,morning,6,8868,0.8592692828146143,4.180747631935048,23.213479927830402
yellow,morning,7,18791,0.9099036772923208,3.9731227715395665,19.70507530200628
yellow,morning,8,26842,0.9217271440280158,3.8513702406676105,18.636459280232472
yellow,morning,9,30296,0.923455241616055,3.9075868101399527,18.65264457354106
yellow,morning,10,32947,0.9267308100889307,4.0679442741372505,18.99162230248581
yellow,midday,11,35693,0.9292858543692041,4.1840792312218085,19.45853612753201
yellow,midday,12,38567,0.9302253221666191,4.251519952290819,19.909232245183706
yellow,midday,13,40352,0.9329401268834259,4.400788560666138,20.39115731562252
yellow,midday,14,43313,0.9352850183547665,4.544247454574839,21.209291898506223
yellow,midday,15,44742,0.937374279200751,4.529414643958697,21.078627687631307
yellow,evening,16,45881,0.9383404895272552,4.8064113685403544,21.21398225845121
yellow,evening,17,50494,0.9464292787261853,4.512684675406979,19.478408325741672
yellow,evening,18,52766,0.9523367319865065,4.291373043247546,18.175965394382747
yellow,evening,19,46813,0.9497789075684104,4.288412834041826,18.222008630081387
yellow,evening,20,42554,0.9538938760163557,4.297871410443202,18.782910889693095
yellow,night,21,42580,0.9559417566932832,4.352135274776891,18.906691874119304
yellow,night,22,38354,0.9512176044219638,4.414263179850863,19.662573134484017
yellow,night,23,28222,0.9383459712281199,4.572160371341506,20.866040323152152
