taxi_type,pickup_year,pickup_month,time_split,rows,tip_rate,avg_tip_amount,median_tip_amount,avg_fare_amount,avg_trip_distance,avg_trip_duration_minutes
green,2024,1,train,12000,0.9133333333333333,3.3465241666666667,2.95,15.9093425,5.4998016666666665,13.6696875
green,2024,2,train,12000,0.9111666666666667,3.383096666666667,3.0,16.274766666666668,2.673414166666667,13.943658333333333
green,2024,3,train,12000,0.9123333333333333,3.4631383333333337,3.0,16.707668333333334,2.7061383333333335,14.32065972222222
green,2024,4,train,12000,0.9160833333333334,3.5874725,3.0,16.954706666666667,2.7657533333333335,14.354859722222223
green,2024,5,train,12000,0.9163333333333333,3.7138983333333333,3.12,18.2206975,2.9220141666666666,15.614149999999999
green,2024,6,train,12000,0.908,3.7704175,3.06,18.635425833333333,3.0308433333333333,15.298672222222223
green,2024,7,train,12000,0.9128333333333334,3.7298108333333335,3.0,18.206321666666664,3.0296774999999996,14.792754166666665
green,2024,8,train,12000,0.90375,3.944879166666667,3.08,19.558658333333334,3.2505450000000002,15.107393055555557
green,2024,9,train,12000,0.9058333333333334,4.059071666666667,3.17,20.623064166666666,3.3723433333333337,16.606481944444443
green,2024,10,valid,12000,0.9133333333333333,3.7637416666666668,3.03,18.337314166666665,2.9321675000000003,15.35532361111111
green,2024,11,valid,12000,0.9095833333333333,3.669023333333333,3.0,17.6373475,2.8225683333333333,15.585908333333332
green,2024,12,valid,12000,0.9084166666666667,3.5430291666666665,3.0,17.040377499999998,2.696648333333333,14.866329166666668
green,2025,1,test,12000,0.9174166666666667,3.438880833333333,2.98,16.1860125,2.6317908333333335,14.062905555555556
green,2025,2,test,12000,0.9125833333333333,3.4141350000000004,2.98,16.346724166666668,2.6431633333333333,14.367016666666668
green,2025,3,test,12000,0.9070833333333334,3.5706366666666667,3.0,17.456280833333334,6.764138333333333,14.865686111111112
green,2025,4,test,12000,0.9115,3.650903333333333,3.05,17.650319166666666,2.845543333333333,15.127163888888889
green,2025,5,test,12000,0.9105,3.75376,3.13,18.468984166666665,2.9067025,15.653241666666666
green,2025,6,test,12000,0.9131666666666667,3.8331116666666665,3.13,19.009410000000003,3.0285741666666666,15.275426388888889
green,2025,7,test,12000,0.91375,3.8118433333333335,3.13,18.85146166666667,3.0524883333333332,15.624765277777776
green,2025,8,test,12000,0.9009166666666667,4.117390833333333,3.22,21.4118175,3.4663325,16.023434722222223
green,2025,9,test,12000,0.9120833333333334,4.041335,3.21,20.402030833333335,6.066988333333334,16.224269444444445
green,2025,10,test,12000,0.9190833333333334,3.805429166666667,3.14,18.422221666666665,2.8872775,15.542498611111112
green,2025,11,test,12000,0.9185,3.7024125,3.05,17.942671666666666,2.8005999999999998,15.017922222222223
green,2025,12,test,12000,0.917,3.6692766666666667,3.05,17.194459166666668,2.6454316666666666,15.016605555555556
yellow,2024,1,train,30000,0.9534666666666667,4.137645333333333,3.14,18.312911,3.2664346666666666,15.053633333333334
yellow,2024,2,train,30000,0.9542666666666667,4.171522333333333,3.2,18.37969,3.2172416666666668,15.445345
yellow,2024,3,train,30000,0.9473666666666667,4.277030333333333,3.22,19.08845733333333,3.626822333333333,16.29445666666667
yellow,2024,4,train,30000,0.9452333333333334,4.321564333333334,3.26,19.432784666666667,3.4238936666666664,16.547123333333335
yellow,2024,5,train,30000,0.9456,4.4272116666666665,3.3,19.972338333333333,3.4475713333333333,17.546361666666666
yellow,2024,6,train,30000,0.9425,4.355169,3.28,19.875085666666664,3.4591903333333334,17.21984666666667
yellow,2024,7,train,30000,0.9335,4.314362333333333,3.22,20.056836333333333,3.615172333333333,16.814405
yellow,2024,8,train,30000,0.9305666666666667,4.361694666666667,3.22,20.158209333333335,3.665210666666667,16.821425555555557
yellow,2024,9,train,30000,0.9425666666666667,4.521685333333333,3.33,20.736619333333334,3.574626,18.407722777777778
yellow,2024,10,valid,30000,0.9478666666666666,4.484853666666666,3.36,20.404723666666666,3.579577,17.866560555555555
yellow,2024,11,valid,30000,0.9435,4.343752666666667,3.28,19.622066,3.3306273333333336,17.34937
yellow,2024,12,valid,30000,0.9414,4.4578473333333335,3.4,20.220753,3.321623333333333,18.336751666666668
yellow,2025,1,test,30000,0.9405333333333333,4.060725333333333,3.15,17.737568,3.138438,14.664421111111112
yellow,2025,2,test,30000,0.9406666666666667,4.049169666666667,3.15,17.632175333333333,3.081168,14.817860555555555
yellow,2025,3,test,30000,0.9397333333333333,4.2838769999999995,3.25,18.868963333333333,3.3490786666666668,15.835327222222222
yellow,2025,4,test,30000,0.9392666666666667,4.30764,3.33,19.174759,4.229402333333334,16.376567777777776
yellow,2025,5,test,30000,0.9388,4.4701216666666665,3.4,20.14443633333333,4.088241,17.599920555555556
yellow,2025,6,test,30000,0.9343666666666667,4.418938333333333,3.34,19.851473666666667,3.4771353333333335,17.04641111111111
yellow,2025,7,test,30000,0.9207666666666666,4.321895333333333,3.31,20.100754666666667,3.553525,16.894139444444445
yellow,2025,8,test,30000,0.9102666666666667,4.289898333333333,3.28,20.26746533333333,3.666662,16.95157888888889
yellow,2025,9,test,30000,0.9195,4.409842333333333,3.35,20.60474766666667,3.526132,18.398218333333336
yellow,2025,10,test,30000,0.9254333333333333,4.408784666666667,3.37,20.195166666666665,3.393904,18.23479833333333
yellow,2025,11,test,30000,0.913,4.251283,3.31,20.132993333333335,3.42639,18.241984444444444
yellow,2025,12,test,30000,0.9082666666666667,4.396217333333333,3.36,20.82127433333333,3.476915,19.30677777777778
