taxi_type,year,month,source_file,source_url,raw_rows,filtered_credit_card_positive_fare_distance_duration_rows,sampled_rows,time_split
green,2024,1,green_tripdata_2024-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-01.parquet,56551,34609,12000,train
green,2024,2,green_tripdata_2024-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-02.parquet,53577,33333,12000,train
green,2024,3,green_tripdata_2024-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-03.parquet,57457,35910,12000,train
green,2024,4,green_tripdata_2024-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-04.parquet,56471,36582,12000,train
green,2024,5,green_tripdata_2024-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-05.parquet,61003,39923,12000,train
green,2024,6,green_tripdata_2024-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-06.parquet,54748,35798,12000,train
green,2024,7,green_tripdata_2024-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-07.parquet,51837,33608,12000,train
green,2024,8,green_tripdata_2024-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-08.parquet,51771,33874,12000,train
green,2024,9,green_tripdata_2024-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-09.parquet,54440,36270,12000,train
green,2024,10,green_tripdata_2024-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-10.parquet,56147,37905,12000,valid
green,2024,11,green_tripdata_2024-11.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-11.parquet,52222,35184,12000,valid
green,2024,12,green_tripdata_2024-12.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-12.parquet,53994,35722,12000,valid
green,2025,1,green_tripdata_2025-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-01.parquet,48326,32495,12000,test
green,2025,2,green_tripdata_2025-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-02.parquet,46621,31247,12000,test
green,2025,3,green_tripdata_2025-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-03.parquet,51539,33290,12000,test
green,2025,4,green_tripdata_2025-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-04.parquet,52132,34503,12000,test
green,2025,5,green_tripdata_2025-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-05.parquet,55399,37372,12000,test
green,2025,6,green_tripdata_2025-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-06.parquet,49390,32780,12000,test
green,2025,7,green_tripdata_2025-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-07.parquet,48205,30964,12000,test
green,2025,8,green_tripdata_2025-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-08.parquet,46306,29730,12000,test
green,2025,9,green_tripdata_2025-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-09.parquet,48893,32137,12000,test
green,2025,10,green_tripdata_2025-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-10.parquet,49416,32957,12000,test
green,2025,11,green_tripdata_2025-11.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-11.parquet,46912,30638,12000,test
green,2025,12,green_tripdata_2025-12.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2025-12.parquet,48236,30777,12000,test
yellow,2024,1,yellow_tripdata_2024-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-01.parquet,2964624,2298339,30000,train
yellow,2024,2,yellow_tripdata_2024-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-02.parquet,3007526,2322198,30000,train
yellow,2024,3,yellow_tripdata_2024-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-03.parquet,3582628,2575763,30000,train
yellow,2024,4,yellow_tripdata_2024-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-04.parquet,3514289,2535567,30000,train
yellow,2024,5,yellow_tripdata_2024-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-05.parquet,3723833,2705509,30000,train
yellow,2024,6,yellow_tripdata_2024-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-06.parquet,3539193,2547998,30000,train
