taxi_type,pickup_borough,pickup_zone,rows,tip_rate,avg_tip_amount,avg_fare_amount,avg_trip_distance
green,Manhattan,Clinton East,29,1.0,4.513103448275862,17.76206896551724,3.0827586206896553
green,Manhattan,Greenwich Village South,27,1.0,3.1081481481481483,13.5,2.0637037037037036
green,Manhattan,Greenwich Village North,19,1.0,3.712105263157895,13.831578947368422,1.827894736842105
green,Manhattan,Murray Hill,17,1.0,3.355294117647059,12.799999999999999,1.6323529411764706
green,Queens,Bellerose,17,1.0,7.421764705882353,63.26294117647059,13.771176470588236
green,Manhattan,Lincoln Square East,13,1.0,3.7084615384615387,14.415384615384616,2.2192307692307693
green,Manhattan,Midtown North,13,1.0,3.42,12.36923076923077,1.2584615384615385
green,Manhattan,Lenox Hill West,10,1.0,3.4560000000000004,12.379999999999999,1.8559999999999999
green,Manhattan,Meatpacking/West Village West,10,1.0,3.526,14.2,2.209
green,Queens,Murray Hill-Queens,10,1.0,5.143,26.130000000000003,4.619
green,Manhattan,Chinatown,9,1.0,4.506666666666667,22.155555555555555,3.566666666666667
green,Brooklyn,Homecrest,8,1.0,4.6850000000000005,25.8875,2.955
green,Manhattan,Upper East Side South,8,1.0,3.47,15.8625,2.5187500000000003
green,Manhattan,Upper West Side North,8,1.0,3.7175,14.8125,2.375
green,Manhattan,Clinton West,6,1.0,2.5066666666666664,11.4,1.79
green,Queens,Glen Oaks,5,1.0,8.272,30.9,5.858
green,Queens,Saint Michaels Cemetery/Woodside,5,1.0,16.8,103.2,9.85
green,Brooklyn,Gravesend,4,1.0,7.454999999999999,34.525000000000006,7.202500000000001
green,Manhattan,Sutton Place/Turtle Bay North,4,1.0,5.295,9.125,1.135
green,Manhattan,UN/Turtle Bay South,4,1.0,3.46,16.65,2.8625
green,Manhattan,Upper West Side South,4,1.0,3.5675,11.399999999999999,2.0175
green,Bronx,Allerton/Pelham Gardens,3,1.0,4.466666666666667,21.0,4.903333333333333
green,Manhattan,Financial District South,3,1.0,7.21,30.533333333333335,6.46
green,Manhattan,Lenox Hill East,3,1.0,2.8333333333333335,10.933333333333332,1.7866666666666664
green,Manhattan,Manhattan Valley,3,1.0,10.643333333333333,29.53333333333333,8.07
green,Manhattan,Financial District North,2,1.0,4.0200000000000005,13.149999999999999,1.825
green,Manhattan,Seaport,2,1.0,3.0,23.65,4.6
green,Queens,Oakland Gardens,2,1.0,5.5,48.5,12.175
green,Brooklyn,Kensington,1,1.0,2.0,4.4,0.4
green,Brooklyn,Ocean Parkway South,1,1.0,1.94,7.2,0.87
green,Manhattan,Alphabet City,1,1.0,2.86,9.3,1.22
green,Manhattan,Lincoln Square West,1,1.0,2.0,23.3,4.0
green,Manhattan,Stuy Town/Peter Cooper Village,1,1.0,1.0,14.2,1.76
green,Manhattan,Two Bridges/Seward Park,1,1.0,2.72,8.6,1.05
green,Queens,Far Rockaway,1,1.0,10.0,62.5,11.2
green,Queens,Forest Park/Highland Park,1,1.0,2.0,24.0,3.44
green,Queens,Ozone Park,1,1.0,10.82,40.8,10.54
green,Queens,Rockaway Park,1,1.0,0.1,21.2,4.85
green,Staten Island,South Beach/Dongan Hills,1,1.0,4.82,22.6,4.75
green,Staten Island,West Brighton,1,1.0,25.0,99.6,24.1
green,Manhattan,Upper East Side North,2510,0.9737051792828685,3.554127490039841,14.644661354581674,2.2447450199203187
green,Manhattan,Times Sq/Theatre District,36,0.9722222222222222,3.714444444444444,15.269444444444446,2.330277777777778
green,Manhattan,Central Park,17421,0.9696917513345962,3.5717628149933986,15.100869066069686,2.295483611732966
green,Manhattan,Midtown South,31,0.967741935483871,3.5306451612903227,13.883870967741935,2.1629032258064513
green,Manhattan,Yorkville East,30,0.9666666666666667,6.967666666666667,27.526666666666664,6.073333333333333
green,Manhattan,Yorkville West,304,0.9638157894736842,4.0316776315789475,17.655921052631577,3.261611842105263
green,Brooklyn,Cobble Hill,438,0.9634703196347032,3.586187214611872,15.369406392694064,2.3504337899543377
green,Brooklyn,Gowanus,27,0.9629629629629629,4.2518518518518515,19.547777777777778,2.471111111111111
green,Manhattan,Midtown East,26,0.9615384615384616,3.8165384615384617,15.01923076923077,2.358846153846154
green,Manhattan,East Village,20,0.95,3.065,14.969999999999999,2.305
green,Manhattan,Randalls Island,20,0.95,6.310499999999999,32.12,4.8695
green,Manhattan,Washington Heights South,6235,0.9467522052927024,5.798992782678428,28.86999198075381,5.916670408981556
green,Manhattan,Morningside Heights,14868,0.9444444444444444,3.706477670164111,16.28260088781275,2.671230158730159
green,Manhattan,TriBeCa/Civic Center,18,0.9444444444444444,4.3116666666666665,21.383333333333333,4.301666666666667
green,Brooklyn,Brooklyn Heights,2824,0.9429886685552408,4.9431303116147305,22.811356232294617,3.9955949008498584
green,Manhattan,East Harlem North,83188,0.9411693994326105,3.363626003750541,15.301594941578113,2.3951922152233496
green,Brooklyn,Windsor Terrace,16,0.9375,6.6775,30.10625,3.0281249999999997
green,Brooklyn,DUMBO/Vinegar Hill,5906,0.9334575008465967,5.088227226549272,25.8683711479851,4.501699966136133
green,Queens,Glendale,15,0.9333333333333333,5.02,30.446666666666665,4.874
green,Manhattan,Penn Station/Madison Sq West,119,0.9327731092436975,3.6026050420168065,15.027731092436975,2.2425210084033615
green,Brooklyn,Carroll Gardens,147,0.9319727891156463,4.036802721088435,20.0765306122449,3.382517006802721
green,Manhattan,East Harlem South,45100,0.9317960088691796,3.2852847006651884,14.49199090909091,2.263969179600887
green,Brooklyn,Downtown Brooklyn/MetroTech,9451,0.9313300179875146,4.212849433922337,20.465815257644696,3.143090678235107
green,Manhattan,Bloomingdale,2292,0.930628272251309,3.2766186736474694,14.951396160558463,2.349310645724258
green,Manhattan,Flatiron,14,0.9285714285714286,3.8778571428571427,15.857142857142858,1.7192857142857143
green,Manhattan,SoHo,41,0.926829268292683,3.56609756097561,19.614634146341466,3.5446341463414637
green,Manhattan,West Village,27,0.9259259259259259,3.4166666666666665,17.82962962962963,3.5840740740740746
green,Brooklyn,Fort Greene,11218,0.9234266357639508,3.523136922802639,17.269789623818863,2.4460572294526655
green,Manhattan,Little Italy/NoLiTa,39,0.9230769230769231,3.4141025641025644,17.074358974358972,2.5858974358974356
green,Manhattan,East Chelsea,26,0.9230769230769231,3.576923076923077,15.061538461538463,2.344230769230769
green,Brooklyn,Dyker Heights,13,0.9230769230769231,13.700769230769229,48.3,8.023076923076923
green,Brooklyn,Prospect Park,64,0.921875,5.24234375,23.5390625,4.24625
green,Brooklyn,Boerum Hill,1419,0.9182522903453136,3.616878083157153,18.075362931642,2.8155461592670896
green,Manhattan,Midtown Center,36,0.9166666666666666,2.783611111111111,12.702777777777778,1.6997222222222221
green,Manhattan,Gramercy,12,0.9166666666666666,3.15,12.333333333333334,1.9841666666666666
green,Manhattan,Union Sq,22,0.9090909090909091,3.497272727272727,15.75,2.1168181818181817
green,Queens,Forest Hills,11607,0.9082450245541484,3.5472111656758853,17.49894891014043,5.874187990006031
green,Queens,Astoria,3696,0.9074675324675324,3.396985930735931,15.849063852813853,2.5577380952380953
green,Brooklyn,Williamsburg (North Side),1398,0.9062947067238912,4.9972317596566525,26.722510729613735,3.835793991416309
green,Queens,Woodside,3453,0.9047205328699681,3.773437590501014,18.113819866782507,3.10377932232841
green,Manhattan,West Chelsea/Hudson Yards,51,0.9019607843137255,3.3068627450980395,15.852941176470589,2.343137254901961
green,Queens,Long Island City/Queens Plaza,345,0.9014492753623189,7.912811594202899,18.871014492753623,2.9233333333333333
green,Brooklyn,Greenpoint,553,0.8969258589511754,4.842043399638336,26.01518987341772,3.845931283905968
green,Queens,Steinway,1968,0.891260162601626,3.1761839430894305,13.995315040650405,2.328795731707317
green,Manhattan,Hamilton Heights,1413,0.8910120311394196,3.781932059447983,19.449327671620665,3.651245576786978
green,Brooklyn,Williamsburg (South Side),348,0.8908045977011494,4.55632183908046,24.16522988505747,3.691695402298851
green,Manhattan,World Trade Center,9,0.8888888888888888,3.7977777777777777,19.41111111111111,3.462222222222222
green,Brooklyn,Clinton Hill,188,0.8882978723404256,3.992712765957447,20.97446808510638,3.1957446808510634
green,Brooklyn,Park Slope,1127,0.8846495119787046,4.962839396628216,30.591668145519076,4.076495119787046
green,Queens,Elmhurst/Maspeth,2043,0.8756730298580518,3.5232941752325013,17.929559471365636,3.18647577092511
green,Queens,Elmhurst,9864,0.8723641524736415,3.7418217761557178,18.006076642335767,11.599798256285483
green,Manhattan,Lower East Side,23,0.8695652173913043,3.7756521739130435,16.752173913043478,2.7091304347826086
green,Queens,Flushing Meadows-Corona Park,3035,0.8691927512355848,9.469499176276772,58.839561779242175,9.637683690280065
green,Brooklyn,Prospect Heights,110,0.8636363636363636,5.212545454545454,21.85818181818182,2.6111818181818185
